User_ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Date_Enroll,Recency,Country
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,Spain
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,Canada
10476,1958,Graduation,Married,67267.0,0,1,2014-05-13,0,United States
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,Australia
5371,1989,Graduation,Single,21474.0,1,0,2014-04-08,0,Spain
7348,1958,PhD,Single,71691.0,0,0,2014-03-17,0,Spain
4073,1954,2n Cycle,Married,63564.0,0,0,2014-01-29,0,Germany
1991,1967,Graduation,Together,44931.0,0,1,2014-01-18,0,Spain
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,United States
9477,1954,PhD,Married,65324.0,0,1,2014-01-11,0,India
2079,1947,2n Cycle,Married,81044.0,0,0,2013-12-27,0,United States
5642,1979,Master,Together,62499.0,1,0,2013-12-09,0,Spain
10530,1959,PhD,Widow,67786.0,0,0,2013-12-07,0,India
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,Canada
10311,1969,Graduation,Married,4428.0,0,1,2013-10-05,0,Spain
837,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,Spain
10521,1977,Graduation,Married,54809.0,1,1,2013-09-11,0,Spain
10175,1958,PhD,Divorced,32173.0,0,1,2013-08-01,0,Spain
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,Canada
2795,1958,Master,Single,30523.0,2,1,2013-07-01,0,Canada
2285,1954,Master,Together,36634.0,0,1,2013-05-28,0,South Africa
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,India
10470,1979,Master,Married,40662.0,1,0,2013-03-15,0,Germany
4065,1976,PhD,Married,49544.0,1,0,2013-02-12,0,Spain
10968,1969,Graduation,Single,57731.0,0,1,2012-11-23,0,India
5985,1965,Master,Single,33168.0,0,1,2012-10-13,0,Spain
5430,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,Spain
8432,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,Spain
453,1956,PhD,Widow,35340.0,1,1,2014-06-29,1,Spain
9687,1975,Graduation,Single,73170.0,0,0,2014-05-31,1,Canada
8890,1971,PhD,Divorced,65808.0,1,1,2014-05-30,1,Spain
9264,1986,Graduation,Married,79529.0,0,0,2014-04-27,1,Canada
5824,1972,PhD,Together,34578.0,2,1,2014-04-11,1,Australia
5794,1974,PhD,Married,46374.0,0,1,2014-03-17,1,India
3068,1990,Graduation,Married,18351.0,0,0,2013-10-29,1,Spain
7962,1987,PhD,Single,95169.0,0,0,2013-10-09,1,Spain
2681,1984,2n Cycle,Married,65370.0,0,0,2013-08-01,1,Spain
10141,1960,Master,Divorced,39228.0,0,0,2013-05-10,1,South Africa
3725,1961,PhD,Single,84865.0,0,0,2013-05-09,1,Spain
3767,1968,Graduation,Married,61314.0,0,1,2013-04-25,1,Spain
5585,1972,Graduation,Single,21359.0,1,0,2013-04-20,1,Canada
7030,1955,PhD,Married,66465.0,0,1,2013-03-30,1,Spain
1524,1983,2n Cycle,Single,81698.0,0,0,2013-03-01,1,Spain
3657,1986,Graduation,Single,39146.0,1,0,2013-02-14,1,Spain
5740,1970,2n Cycle,Divorced,25959.0,1,1,2013-02-14,1,Spain
9595,1961,Graduation,Together,64260.0,0,0,2013-01-11,1,Spain
3158,1973,Graduation,Married,32300.0,1,0,2013-01-03,1,Spain
5114,1965,Master,Married,74806.0,0,1,2012-12-19,1,Australia
340,1970,Graduation,Divorced,72967.0,0,1,2012-12-15,1,Germany
8805,1960,Graduation,Single,48904.0,0,1,2012-12-02,1,United States
1241,1984,2n Cycle,Married,14796.0,1,0,2012-09-17,1,Germany
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,Germany
7264,1978,2n Cycle,Single,52195.0,2,1,2014-05-12,2,South Africa
1619,1956,Graduation,Married,90369.0,0,0,2014-04-28,2,Spain
6398,1974,Basic,Married,18393.0,1,0,2014-03-29,2,Spain
1857,1952,Graduation,Single,47139.0,1,1,2014-03-06,2,Spain
4877,1973,Master,Married,38576.0,0,1,2014-03-04,2,India
3066,1975,PhD,Together,61905.0,0,1,2014-02-04,2,South Africa
10286,1962,Graduation,Married,83715.0,0,0,2014-02-03,2,South Africa
1992,1964,Graduation,Married,60597.0,0,1,2014-01-01,2,Spain
4246,1982,Master,Single,6560.0,0,0,2013-12-12,2,Spain
10623,1961,Master,Together,48330.0,0,1,2013-11-15,2,Spain
4867,1968,PhD,Single,38236.0,1,1,2013-09-20,2,Spain
3112,1977,Master,Married,22701.0,1,0,2013-09-05,2,Spain
4865,1974,Master,Divorced,53367.0,1,1,2013-08-31,2,Australia
6287,1986,Graduation,Together,34728.0,1,0,2013-07-30,2,Spain
4405,1956,Master,Married,63915.0,0,2,2013-07-30,2,Australia
5332,1960,2n Cycle,Married,82504.0,0,0,2013-07-27,2,India
1519,1972,PhD,Single,38578.0,1,1,2013-06-22,2,Spain
9080,1972,PhD,Single,38578.0,1,1,2013-06-22,2,Spain
1772,1975,PhD,Married,79174.0,0,0,2013-01-11,2,Canada
5341,1962,2n Cycle,Divorced,81975.0,0,1,2013-01-05,2,South Africa
5510,1977,Master,Married,43263.0,0,1,2012-11-21,2,Spain
3887,1970,Graduation,Single,27242.0,1,0,2012-11-11,2,India
7022,1971,Graduation,Married,76445.0,1,0,2012-09-28,2,South Africa
9999,1965,Graduation,Together,75276.0,0,0,2012-09-27,2,Spain
10352,1963,Graduation,Widow,34213.0,1,1,2012-09-07,2,South Africa
7919,1976,PhD,Together,72335.0,0,0,2012-08-13,2,Spain
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,Australia
7990,1947,Graduation,Married,27469.0,0,0,2012-08-02,2,Canada
9888,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,Spain
4399,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,Canada
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,Germany
4785,1970,PhD,Together,77622.0,0,2,2014-04-14,3,South Africa
8461,1962,Graduation,Divorced,46102.0,2,1,2014-03-10,3,Spain
3878,1980,2n Cycle,Single,31859.0,1,0,2014-02-27,3,Spain
9612,1987,2n Cycle,Single,23830.0,0,0,2014-02-07,3,Spain
4098,1973,Graduation,Married,24639.0,1,1,2014-01-28,3,Australia
158,1945,PhD,Together,71604.0,0,0,2013-11-17,3,Spain
3896,1984,Graduation,Married,27255.0,1,0,2013-11-07,3,Spain
9970,1977,Graduation,Together,55375.0,0,1,2013-10-17,3,Canada
4002,1960,PhD,Married,77037.0,0,1,2013-10-13,3,Spain
10914,1970,Graduation,Single,24163.0,1,1,2013-10-12,3,Spain
7279,1969,PhD,Together,69476.0,0,0,2013-09-30,3,United States
10582,1979,Graduation,Married,72063.0,0,1,2013-07-03,3,Germany
4470,1962,Master,Married,58646.0,0,1,2013-06-10,3,Spain
6183,1962,Master,Married,58646.0,0,1,2013-06-10,3,Germany
6379,1949,Master,Widow,47570.0,1,1,2013-05-29,3,United States
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,Australia
4827,1956,PhD,Single,54998.0,0,1,2013-03-10,3,Spain
6715,1948,PhD,Single,60200.0,0,1,2013-01-02,3,Spain
